Name,Dover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CAA 2005,0,0.362613992,0.160472912,2.407294604,6.318494863,10.39410572,13.59113228,14.69246393,11.37608127,11.57891958,13.04384655,11.44382165,9.416621734,9.947511764,4.226243064,5.004836893,3.157347837,2.056629697,0.75713945,1.006749037,0.697721925,0.239808188,0.357342867,1.653807566,1.028205354,0.401335536,0.646067324,0.931754681,0.49218134,0.105701195,0.062657954,0.202106058,0.110236862,0.024060512,0.141766041,0.122218647,0.02816456,0.081883128,0.008037862,0.052748051,0,0.224527225,0.08785866,0.113387379,0,0.017631305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2006,0,0.061270886,0.231304141,0.642483507,2.827282119,8.653703856,11.2331079,20.01626757,18.09223657,18.27839872,15.91570568,14.41521794,17.23943457,9.787138029,7.939553963,5.245792155,6.587549426,7.938550197,2.478482956,3.794513862,2.333324622,0.762869119,0.980827393,0.568591128,1.253748096,0.939081158,0.246257751,1.977946123,0.743859982,0.337985212,0.157306952,0.458202141,0.070320166,0.511911316,0.157306952,0.433606881,0.00291871,0.124694802,0.038692475,0.05263951,0.48730623,0.493903185,0.074581391,0,0,0,0,0.209355843,0.050705657,0.157306952,0.352677417,0,0,0,0.017646659,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2007,0,0,0.440770511,1.047191444,3.888885674,8.156410419,12.49196211,14.15834629,18.31362764,24.78462512,9.955914581,11.53764456,7.887580641,11.39453665,6.633975928,8.515427701,4.258394388,3.401847611,2.608121544,1.623036687,1.350009421,1.693546218,1.654534823,1.110633921,1.151039518,2.682515978,1.104993783,0.101414139,0.163211824,0.200677585,0.447582133,0.329533315,0.160241255,0.090941043,0.027576564,0,0.011983669,0,0.090941043,0,0.237747543,0,0,0,0,0.018700363,0,0.101414139,0.019963092,0.000366484,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2008,0,0.010499526,0.052729861,0.584471102,1.542405471,2.687874152,8.323970898,16.41289325,21.03009028,18.4284027,18.12231069,13.41122323,11.61857751,6.918720778,5.592102485,5.784175786,5.031905267,2.910966985,1.353409784,2.94133075,1.394465683,0.415105147,0.743632916,0.133673771,0.521559265,0.11426494,0.22071719,0.154912345,0.162216825,0.350969709,0.138132729,0.009194193,0.04446405,0.23966848,0.019895303,0,0.226145732,0,0.306754349,0.61585773,0.313143378,0,0,0,0.518504293,0,0,0,0.101280141,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2009,0.038666092,0.010037149,0.727048396,0.343854942,1.120497136,1.026373952,5.401094947,9.176537787,15.41039584,4.182752739,13.93377831,8.077191702,6.009523739,2.762393945,2.815738894,3.395900319,2.760011998,2.524381448,1.125664924,2.498215583,0.795511734,1.061426671,0.560689093,0.617550471,0.413932926,1.1871642,0.168845888,1.336956245,0.706566462,0.080205114,0.219342159,0.138848411,0.249565514,0.189954363,0,0.015310856,0.054430848,0.059843701,0.09314993,0.437884336,0.20957523,0.08909817,0.044263971,0.002077579,0,0,0,0,0,0,0,0.033268176,0,0,0,0.053486616,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 2010,0.002507081,0.038510338,0.263806413,0.543104326,1.949153243,2.710626604,4.650388589,5.374787532,6.288930198,5.980776689,6.871055649,1.211726387,1.588008965,1.190287398,2.442663084,1.380376549,3.10044431,0.912972541,0.967110323,1.58578995,0.91112837,1.794114481,0.429195394,0.448647335,0.796016745,0.256626605,0,0.349962218,0.270279397,0.253903106,0.046431638,0.001882412,0.053000855,0.050920095,0.184940306,0.068050905,0,0.050337869,0.02114609,0.207684314,0,0.259755203,0,0,0,0,0,0.008275973,0.031000861,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock depletion,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock abundance,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy K parameter,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy Linf parameter,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy t0 parameter,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
