Name,Petrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CV von B. t0 parameter,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at 50% maturity,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at first capture,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at full selection,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter a,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter b,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Steepness,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma length composition,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,thousand tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL type,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL_bins,0,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1970,0,0,0,0,0,0,0,0,0.373008507,3.572041106,14.80476163,31.99882918,20.66197992,20.9427099,22.42744459,23.1517308,21.31215445,18.36525716,12.91311764,7.584679195,6.816532359,3.354642557,1.244494892,0.595474222,0.406102928,0.033729611,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1971,0,0,0,0,0,0,0,0,0.034792532,0.56683759,6.950072368,18.86953279,26.20701111,28.14137727,19.4427849,18.07025787,17.2086766,15.43842857,15.41865082,8.186364861,6.287114991,3.609028962,1.825372961,1.200866161,0.503731882,0.112021147,0.16686651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1972,0,0,0,0,0,0,0.046478092,0,0.063022975,0.615688836,2.528280167,5.173260061,12.88905117,15.01646883,22.81062389,28.09474306,28.45820497,22.62350371,17.31952807,13.39617947,8.266782318,6.773994921,3.80188518,1.600746785,0.830764391,0.561686626,0.007275361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1973,0,0,0,0,0,0,0,0,0.143174829,1.22517633,4.528296343,10.48383492,7.541781667,12.04268835,21.93015587,28.03735229,32.10560704,25.05860661,20.31484925,12.24057725,7.633975443,4.205647621,2.652215296,1.613124349,1.395032545,0.668593571,0.217630454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1974,0,0,0,0,0,0,0,0.023903742,0.684228277,1.579952707,6.926172499,11.00554232,11.85173953,10.82562715,15.39736855,20.73386681,23.20109113,24.56632469,16.58079904,8.870364587,5.209352334,2.816952094,0.964042816,0.739524752,0.407517388,0.150781884,0.010474487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1975,0,0,0,0,0,0,0,0.885264483,3.715673426,6.24924939,7.542451851,16.97387382,21.077108,21.94684801,17.65836927,14.65893251,19.74849542,23.50956483,21.23152824,13.25343678,6.90511859,4.60020383,2.682763693,1.053581739,0.460014525,0.326900231,0.031827718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1976,0,0,0,0,0,0.046776467,0.027038451,0,0.039381817,0.917297518,4.380649874,7.487699576,8.567584297,7.00621515,9.120351398,15.34363583,17.93773306,26.05194313,26.17947918,20.26346002,16.89929748,8.67372837,3.493147889,3.298540855,0.652907906,0.20800041,0.161922738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1977,0,0,0,0,0.00734243,0,0,0.073884581,0.735170515,3.519339191,11.38415236,16.01074908,14.93886017,19.47458686,14.34304623,22.12903576,26.39516127,28.27050988,36.47035197,19.15618935,17.81677976,7.421643731,3.801086057,3.870853133,2.039066547,0.386894301,0.839304424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1978,0,0,0,0,0,0,0,0.084884439,1.424909879,3.364253947,6.425982205,11.76872462,18.08096661,16.35216715,13.75974083,19.77243295,18.29344004,26.97974297,26.87886339,17.39567667,14.55650698,9.350221073,7.303732479,5.365148748,1.166468258,0.89864572,0.410359011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1979,0,0,0,0,0,0,0,0.256547599,1.224453877,8.34153038,14.12028548,16.02551281,12.37149698,13.81645059,9.112066261,18.60273384,17.00781289,13.67234588,11.78462837,8.663365131,9.657911112,7.28677946,4.532556415,2.841562247,1.19904275,1.39358119,0.752639952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1980,0,0,0,0,0,0,0.019125528,0.477561458,6.286380959,19.73093259,30.76057376,21.33463246,19.25169163,15.17173849,13.66707054,15.77553789,21.68476678,17.84050483,12.40136037,11.67736322,10.92454367,10.43837114,5.140213437,2.429809915,1.371334645,0.206515179,0.286705216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1981,0,0,0,0,0,0,0,0.50545128,5.92355934,15.08458376,23.92179198,19.59654465,22.188759,18.21005451,20.87893224,20.52342081,18.96705663,18.08337968,19.77131519,17.19507933,10.76052135,8.812698425,6.622113677,5.180819543,1.823425681,0.529604241,0.706496533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1982,0,0,0,0,0,0,0,0.145004717,0.597342652,5.787479352,10.87592168,18.88546836,22.15210337,20.2237565,19.84068557,16.97005553,16.50026188,11.60963012,9.810081459,5.367306049,5.470384693,5.438740552,3.001006171,2.129361044,3.076309475,0.164021843,0.474020251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1983,0,0,0,0,0,0,0.019613981,0,1.532620889,5.366939489,7.560502748,15.21320745,14.21313168,16.39951134,18.15027868,17.44607909,17.5323913,14.31012634,11.03617771,7.379004238,8.705972852,8.695803007,6.836214474,7.25360003,3.998266548,2.800268068,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1984,0,0,0,0,0,0,0,0,0.511865793,1.751987797,4.172493332,7.555497189,8.78479591,10.84386021,15.54284663,17.65188077,17.33077032,15.93253734,11.34843859,8.315964681,4.675614354,3.879290928,2.149817726,2.138878449,0.392129569,0.585619183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1985,0,0,0,0,0,0,0,0.587858412,1.546222044,6.947335083,21.10254312,19.57690247,20.74031879,16.81014431,14.36634811,19.44366526,13.72227388,9.839040898,7.685545106,3.436883737,1.718889837,1.968098564,1.018637858,0.127915156,0.016115654,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1986,0,0,0,0,0,1.6596962,1.0041337,0.877275388,5.754916888,20.48165753,23.78021116,29.18835779,31.41545659,24.11801457,23.13212205,24.93326855,23.73062497,22.18433728,16.5008584,9.792618705,3.986291014,3.97605106,1.163490238,0.414034445,1.679297043,0.651343127,0.372392596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1987,0,0,0,0,0,0,0,0.320274798,2.384089204,6.525041617,11.03372223,18.68217098,19.1207597,24.34153699,17.17623077,17.85057593,13.38527891,15.89896996,9.712326671,6.690091828,6.637286676,1.533266833,0.555325498,1.665493168,0.481603088,0.029657496,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1988,0,0,0,0,0,0.605992548,0,0.058919883,2.922420159,15.18898843,19.5153176,27.09848564,27.22532625,18.06786844,20.92177413,16.34312159,16.30039397,12.71139953,10.70751054,9.831400787,5.436314743,1.756293581,0.250712212,0.137964153,0.101995505,0.096993036,0.096993036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1989,0,0,0,0,0.1052069,0.3588284,0.5028671,1.2169388,4.346526557,9.851653913,21.20639623,52.77552267,51.91002133,47.89416776,35.28956058,25.81931968,18.29234744,14.98543162,8.962208889,5.2614514,3.647841784,1.001609515,1.571806084,0.785874077,0,0.1142395,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1990,0,0,0,0,0,0,0,0,0.388850087,1.685153551,4.169755444,18.98765843,41.42058726,45.42850813,38.40429899,38.45618935,17.84446587,25.20534359,17.41107249,6.180900649,0.342766178,0,3.314467644,1.657233822,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1991,0,0,0,0,0,0,0,0,0.410878858,1.854520914,6.939468003,25.24439409,26.17010405,35.57565266,45.58691337,38.00736275,20.80628337,14.54953,14.2348183,5.344686417,2.090479756,2.91261799,1.202912918,0.300703249,0,0.152273352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1992,0,0,0.32474368,0,0.1394901,0.8133533,2.4790727,3.320116,7.510981924,11.52342,15.34914232,19.49639302,28.45419575,23.19611974,31.2342129,34.23046607,14.93658201,17.3742046,8.103980648,7.794825151,2.104004553,1.228759736,0.445379378,0.445379378,0.445379378,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1993,0,0,0,0,0,0,0,0,0,0.911968634,3.266907011,7.438895243,13.07731147,15.82385715,15.11655558,16.55873985,22.06002958,11.33884454,7.657565376,4.701485369,2.096906885,1.939269521,0,0,0.149964886,0.428458839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1994,0,0,0,0,0,0,0.119434597,0,0,1.508524614,9.973232676,9.460238974,12.77169555,14.69560125,11.69051574,9.828001704,12.7672445,8.65809676,2.859178408,2.153792961,1.928851631,0.043519625,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1995,0,0,0,0.07113167,0.3083666,0.3002779,1.0183571,1.615746,3.182806,4.682894,12.61314586,13.54814341,19.1678074,25.95743531,26.94586393,19.70812135,20.75241067,18.94245409,9.43067556,2.089281207,1.600552432,0.666921484,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1996,0,0,0,0,0,0,0,0,0,0,2.8638809,11.99452944,8.97217791,13.69234596,20.31727755,28.18547245,10.87527105,10.96467563,2.31968798,0.059304627,1.071447344,0,1.595502298,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1997,0,0,0,0,0,0,0,0.575803461,3.497879831,15.38579075,13.56726032,13.008281,8.953630209,10.04632719,14.41111259,19.19453296,16.91043586,11.25583297,4.602313987,0.218810224,1.83866246,0.403173528,0,0.070010735,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1998,0,0,0,0,0.1586272,0.6080436,1.489132304,2.2963795,4.404412414,6.17498358,10.858191,11.78302706,12.94758607,9.987509801,12.42044875,20.86354318,19.05748761,19.75866338,8.191828941,7.4390321,1.827852425,2.935858376,3.353708171,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1999,0,0,0,0,0,0,0,0,0,0.246331063,2.887495806,7.128615415,10.78315321,13.41459634,9.644074685,13.49708714,13.70002885,10.40392414,7.887379057,4.859170692,2.462137515,0.43583742,0.044076029,0.016604525,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2000,0,0,0,0,0,0,0,0,0.141431293,0.92286097,1.977755316,6.398948071,7.992475438,10.61104001,17.41444994,14.4287916,16.9706292,11.34592152,8.808925503,5.741859684,2.866497953,1.099839374,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2001,0,0,0,0.32694347,0.9743474,2.105,7.533007894,6.585249954,13.69983632,20.67379653,14.9715912,16.97262031,21.72644389,24.74440577,23.51876271,23.91136154,18.80964905,11.81403361,5.455176689,5.817484649,1.776950877,1.275471822,0.804257818,0.803303148,0.084513274,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2002,0,0,0,0,0,0,0,0.132451035,0.212507176,0.638887284,15.82835421,13.93218357,17.04718016,23.42914427,17.61437972,20.09934999,15.58747008,17.81441377,8.187780175,5.977338496,6.236244188,2.469816455,0.625001995,0.02637395,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2003,0,0,0,0,0.424100167,0.319529102,1.883315138,0.815041587,4.841135216,10.4050837,21.64219393,22.16725232,22.62672633,22.31183065,24.45790422,23.75304201,20.92218509,19.1004398,13.74556028,6.221362988,4.537663007,4.862126447,0.576707339,0.072022941,0.146878192,0.247998889,0.08628096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2004,0,0,0.02139436,0.139664804,0.718108078,1.342076359,2.118571647,3.949802645,5.21729995,9.090475809,14.96775072,19.43285378,26.36081697,37.19866598,36.71905049,31.07354671,25.81863954,18.37638126,10.61982795,9.802133513,6.545488507,2.641795633,0.632612893,0.344008009,0,0,0.021948813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2005,0,0,0,0.017867442,0.081489124,0.34546188,0.804915532,1.507466957,1.631054318,5.971953208,6.819780801,16.47506115,25.35884771,31.70430281,40.76315954,41.89811197,48.07139108,26.19610584,18.37710974,10.36157473,4.968700552,2.536069929,0.852927177,2.591918398,0.080078833,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2006,0,0,0,0,0.388187659,0.247937425,0.99203782,1.301517323,2.384436127,3.872355353,8.68795887,13.89681569,28.60766559,36.93943844,44.20576557,40.57510729,37.91480356,25.24157573,16.57767439,9.544620923,2.869076931,2.057207973,0.588057443,0.155848177,0.13263131,0.014689451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2007,0,0,0,0,0.275661813,0.470355266,1.421414709,1.531377298,1.756359482,4.651918849,7.772463589,16.9567174,25.0603137,33.0550618,38.44460088,41.9065035,36.24714311,25.66802694,18.26416714,8.691523751,5.423143849,2.66334738,0.894745827,0.479594652,0.168990684,0.384425106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2008,0,0,0,0.070419581,0.585166223,1.310437963,1.514508362,3.113398007,3.39314731,4.581277853,7.006854215,10.9540531,17.53251044,25.90886441,30.97371728,33.16402136,32.64350269,26.6367514,19.70614352,13.29628099,6.068183047,2.70124679,1.103107738,0.385997203,0.158465155,0.011118732,0.029776374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2009,0,0,0,0.07870442,0.888481971,1.826343601,2.021861435,2.403341974,3.098072674,3.916503155,7.724933524,13.67372536,22.67825164,32.48282427,37.0835412,38.7777079,34.67770805,28.17259931,22.59000186,11.65690792,5.311142264,2.232663289,0.827972109,0.489232349,0,0.002828048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2010,0,0,0.038361335,0.224725301,0.602970781,1.724707691,2.8765107,3.139403153,4.32401994,5.088058318,8.139521869,13.01926146,21.52924461,27.6888623,35.76674185,39.14023691,38.89419721,30.19661929,21.33820788,15.42276708,8.048028756,2.363703672,2.308562916,0.27076225,0.143862714,0.060030446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2011,0,0,0,0.030461083,0.337255039,1.105257703,2.70184995,3.654667497,4.167248094,5.687773417,9.89652838,14.80950881,21.74445812,18.61797439,22.39214738,20.97570755,16.78012738,16.67898796,8.353649466,10.95765354,6.929764515,2.592395456,0.975970102,0.303942021,0.150972836,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2012,0,0,0,0,0.110178811,0.455459838,1.214930517,2.404958016,3.086328734,4.524787383,7.379455067,13.94397305,20.77336996,30.58042706,26.65302217,27.98013244,21.09040494,14.45753063,9.626096302,6.48708019,4.343763392,1.993196661,0.551280962,0.055723313,0.009678635,0.009875542,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2013,0,0,0,0,0,0,0,0,0,0.150674333,0.346365629,0.513185285,1.331833853,0.806122156,7.047951403,3.112050368,8.048477317,4.180710346,3.178295547,3.591360945,1.348273635,0.572167521,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPrec,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHYear,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
